Company Name,Symbol,Serial Number,2022-23 Status,2022-23 Filename,2023-24 Status,2023-24 Filename,2024-25 Status,2024-25 Filename
360 ONE WAM,360ONE,1,Not Found,,Renamed,1_360 ONE WAM Ltd._2023_24.pdf,Renamed,1_360 ONE WAM Ltd._2024_25.pdf
3M India,3MINDIA,2,Renamed,2_3M India Ltd._2022_23.pdf,Renamed,2_3M India Ltd._2023_24.pdf,Renamed,2_3M India Ltd._2024_25.pdf
ABB India,ABB,3,Renamed,3_ABB India Ltd._2022_2023.pdf,Renamed,3_ABB India Ltd._2023_2024.pdf,Renamed,3_ABB India Ltd._2024_2025.pdf
ACC,ACC,4,Not Found,,Not Found,,Renamed,4_ACC Ltd._2024_2025.pdf
ACME Solar Holdings,ACMESOLAR,5,Not Found,,Not Found,,Not Found,
AIA Engineering,AIAENG,6,Renamed,6_AIA Engineering Ltd._2022_2023.pdf,Renamed,6_AIA Engineering Ltd._2023_2024.pdf,Renamed,6_AIA Engineering Ltd._2024_2025.pdf
APL Apollo Tubes,APLAPOLLO,7,Renamed,7_APL Apollo Tubes Ltd._2022_2023.pdf,Renamed,7_APL Apollo Tubes Ltd._2023_2024.pdf,Renamed,7_APL Apollo Tubes Ltd._2024_2025.pdf
AU Small Finance Bank,AUBANK,8,Renamed,8_AU Small Finance Bank Ltd._2022_2023.pdf,Renamed,8_AU Small Finance Bank Ltd._2023_2024.pdf,Renamed,8_AU Small Finance Bank Ltd._2024_2025.pdf
AWL Agri Business,AWL,9,Not Found,,Not Found,,Renamed,9_AWL Agri Business Ltd._2024_2025.pdf
Aadhar Housing Finance,AADHARHFC,10,Not Found,,Not Found,,Not Found,
Aarti Industries,AARTIIND,11,Renamed,11_Aarti Industries Ltd._2022_2023.pdf,Renamed,11_Aarti Industries Ltd._2023_2024.pdf,Renamed,11_Aarti Industries Ltd._2024_2025.pdf
Aavas Financiers,AAVAS,12,Renamed,12_Aavas Financiers Ltd._2022_2023.pdf,Renamed,12_Aavas Financiers Ltd._2023_2024.pdf,Renamed,12_Aavas Financiers Ltd._2024_2025.pdf
Abbott India,ABBOTINDIA,13,Renamed,13_Abbott India Ltd._2022_2023.pdf,Renamed,13_Abbott India Ltd._2023_2024.pdf,Renamed,13_Abbott India Ltd._2024_2025.pdf
Action Construction Equipment,ACE,14,Renamed,14_Action Construction Equipment Ltd._2022_2023.pdf,Not Found,,Renamed,14_Action Construction Equipment Ltd._2024_2025.pdf
Adani Energy Solutions,ADANIENSOL,15,Not Found,,Not Found,,Not Found,
Adani Enterprises,ADANIENT,16,Not Found,,Renamed,16_Adani Enterprises Ltd._2023_2024.pdf,Not Found,
Adani Green Energy,ADANIGREEN,17,Renamed,17_Adani Green Energy Ltd._2022_2023.pdf,Renamed,17_Adani Green Energy Ltd._2023_2024.pdf,Not Found,
Adani Ports and Special Economic Zone,ADANIPORTS,18,Not Found,,Renamed,18_Adani Ports and Special Economic Zone Ltd._2023_2024.pdf,Renamed,18_Adani Ports and Special Economic Zone Ltd._2024_2025.pdf
Adani Power,ADANIPOWER,19,Renamed,19_Adani Power Ltd._2022_2023.pdf,Not Found,,Not Found,
Adani Total Gas,ATGL,20,Not Found,,Renamed,20_Adani Total Gas Ltd._2023_2024.pdf,Renamed,20_Adani Total Gas Ltd._2024_2025.pdf
Aditya Birla Capital,ABCAPITAL,21,Not Found,,Renamed,21_Aditya Birla Capital Ltd._2023_2024.pdf,Not Found,
Aditya Birla Fashion and Retail,ABFRL,22,Not Found,,Not Found,,Not Found,
Aditya Birla Real Estate,ABREL,23,Not Found,,Not Found,,Not Found,
Aditya Birla Sun Life AMC,ABSLAMC,24,Renamed,24_Aditya Birla Sun Life AMC Ltd._2022_2023.pdf,Renamed,24_Aditya Birla Sun Life AMC Ltd._2023_2024.pdf,Renamed,24_Aditya Birla Sun Life AMC Ltd._2024_2025.pdf
Aegis Logistics,AEGISLOG,25,Renamed,25_Aegis Logistics Ltd._2022_2023.pdf,Not Found,,Not Found,
Afcons Infrastructure,AFCONS,26,Not Found,,Not Found,,Renamed,26_Afcons Infrastructure Ltd._2024_2025.pdf
Affle 3i,AFFLE,27,Renamed,27_Affle 3i Ltd._2022_2023.pdf,Renamed,27_Affle 3i Ltd._2023_2024.pdf,Renamed,27_Affle 3i Ltd._2024_2025.pdf
Ajanta Pharmaceuticals,AJANTPHARM,28,Not Found,,Not Found,,Not Found,
Akums Drugs and Pharmaceuticals,AKUMS,29,Not Found,,Not Found,,Not Found,
Alembic Pharmaceuticals,APLLTD,30,Not Found,,Renamed,30_Alembic Pharmaceuticals Ltd._2023_2024.pdf,Renamed,30_Alembic Pharmaceuticals Ltd._2024_2025.pdf
Alivus Life Sciences,ALIVUS,31,Not Found,,Not Found,,Not Found,
Alkem Laboratories,ALKEM,32,Not Found,,Not Found,,Not Found,
Alkyl Amines Chemicals,ALKYLAMINE,33,Not Found,,Not Found,,Not Found,
Alok Industries,ALOKINDS,34,Renamed,34_Alok Industries Ltd._2022_2023.pdf,Renamed,34_Alok Industries Ltd._2023_2024.pdf,Renamed,34_Alok Industries Ltd._2024_2025.pdf
Amara Raja Energy & Mobility,ARE&M,35,Not Found,,Not Found,,Not Found,
Amber Enterprises India,AMBER,36,Not Found,,Not Found,,Not Found,
Ambuja Cements,AMBUJACEM,37,Not Found,,Not Found,,Not Found,
Anand Rathi Wealth,ANANDRATHI,38,Renamed,38_Anand Rathi Wealth Ltd._2022_2023.pdf,Renamed,38_Anand Rathi Wealth Ltd._2023_2024.pdf,Renamed,38_Anand Rathi Wealth Ltd._2024_2025.pdf
Anant Raj,ANANTRAJ,39,Not Found,,Not Found,,Not Found,
Angel One,ANGELONE,40,Not Found,,Not Found,,Not Found,
Apar Industries,APARINDS,41,Not Found,,Not Found,,Not Found,
Apollo Hospitals Enterprise,APOLLOHOSP,42,Not Found,,Not Found,,Not Found,
Apollo Tyres,APOLLOTYRE,43,Renamed,43_Apollo Tyres Ltd._2022_2023.pdf,Renamed,43_Apollo Tyres Ltd._2023_2024.pdf,Renamed,43_Apollo Tyres Ltd._2024_2025.pdf
Aptus Value Housing Finance India,APTUS,44,Not Found,,Not Found,,Not Found,
Asahi India Glass,ASAHIINDIA,45,Not Found,,Not Found,,Not Found,
Ashok Leyland,ASHOKLEY,46,Renamed,46_Ashok Leyland Ltd._2022_2023.pdf,Renamed,46_Ashok Leyland Ltd._2023_2024.pdf,Renamed,46_Ashok Leyland Ltd._2024_2025.pdf
Asian Paints,ASIANPAINT,47,Not Found,,Not Found,,Renamed,47_Asian Paints Ltd._2024_2025.pdf
Aster DM Healthcare,ASTERDM,48,Renamed,48_Aster DM Healthcare Ltd._2022_2023.pdf,Renamed,48_Aster DM Healthcare Ltd._2023_2024.pdf,Renamed,48_Aster DM Healthcare Ltd._2024_2025.pdf
AstraZenca Pharma India,ASTRAZEN,49,Not Found,,Not Found,,Not Found,
Astral,ASTRAL,50,Not Found,,Renamed,50_Astral Ltd._2023_2024.pdf,Not Found,
Atul,ATUL,51,Not Found,,Not Found,,Not Found,
